Acedamic percentage in 10th,percentage in 12th,Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,Interested subjects,interested career area,Suggested Job Role
75,68,5,0,6,2,yes,no,information security,testing,programming,testing,Applications Developer
75,72,7,6,4,3,no,yes,shell programming,testing,Management,system developer,Applications Developer
75,80,5,5,7,8,yes,no,machine learning,game development,networks,system developer,Applications Developer
75,65,3,0,7,9,no,yes,full stack,system designing,data engineering,security,Applications Developer
75,70,2,6,6,1,no,yes,hadoop,cloud computing,IOT,Business process analyst,Applications Developer
75,78,3,1,1,8,no,no,r programming,data science,parallel computing,developer,Applications Developer
75,60,6,0,4,4,yes,yes,r programming,cloud computing,IOT,developer,Applications Developer
75,75,1,0,9,2,no,no,hadoop,system designing,data engineering,system developer,Applications Developer
75,77,7,6,9,3,no,yes,full stack,testing,hacking,Business process analyst,Applications Developer
75,71,4,6,4,6,no,no,hadoop,testing,cloud computing,cloud computing,Applications Developer
75,79,4,5,4,4,yes,no,hadoop,hacking,Computer Architecture,cloud computing,Applications Developer
75,74,9,4,6,4,no,yes,information security,cloud computing,programming,security,Applications Developer
75,76,8,6,1,8,no,no,r programming,database security,programming,testing,Applications Developer
75,82,1,6,4,5,no,yes,full stack,hacking,cloud computing,testing,Applications Developer
75,85,2,4,5,3,yes,yes,machine learning,data science,cloud computing,cloud computing,Applications Developer
75,63,6,4,3,3,yes,yes,r programming,testing,networks,Business process analyst,Applications Developer
75,79,4,2,7,3,yes,yes,information security,web technologies,networks,developer,Applications Developer
75,73,1,4,7,6,yes,yes,r programming,data science,Computer Architecture,testing,Applications Developer
75,69,5,5,3,1,yes,yes,python,web technologies,IOT,security,Applications Developer
75,75,4,0,7,2,no,no,distro making,system designing,parallel computing,testing,Applications Developer
75,70,9,4,3,5,no,yes,app development,data science,Computer Architecture,cloud computing,Applications Developer
75,72,3,2,4,4,yes,no,app development,cloud computing,programming,Business process analyst,Applications Developer
75,63,3,3,9,7,no,yes,r programming,game development,Software Engineering,system developer,Applications Developer
75,62,6,2,8,9,no,yes,python,data science,Management,testing,Applications Developer
75,62,2,2,2,7,yes,yes,shell programming,data science,Computer Architecture,cloud computing,Applications Developer
75,68,2,6,5,1,no,no,distro making,game development,hacking,system developer,Applications Developer
80,72,8,6,4,5,yes,yes,shell programming,system designing,cloud computing,developer,Applications Developer
80,80,5,3,2,7,no,no,r programming,web technologies,networks,cloud computing,Applications Developer
80,65,8,0,8,2,no,yes,python,game development,Management,Business process analyst,Applications Developer
80,70,2,2,1,7,yes,yes,app development,data science,data engineering,security,Applications Developer
80,78,5,4,5,9,no,yes,shell programming,system designing,Computer Architecture,system developer,Applications Developer
80,60,9,0,4,2,yes,yes,shell programming,testing,hacking,cloud computing,Applications Developer
80,75,5,3,7,7,no,no,r programming,database security,networks,security,Applications Developer
80,77,4,2,8,2,yes,no,hadoop,web technologies,Management,cloud computing,Applications Developer
80,71,9,1,7,7,yes,no,information security,game development,Computer Architecture,cloud computing,Applications Developer
80,79,5,5,1,8,yes,yes,shell programming,system designing,hacking,developer,Applications Developer
80,74,1,1,1,9,yes,no,app development,cloud computing,Computer Architecture,developer,Applications Developer
80,76,7,4,6,9,yes,no,machine learning,testing,networks,testing,Applications Developer
80,82,3,1,6,5,no,yes,machine learning,data science,Software Engineering,system developer,Applications Developer
80,85,6,0,5,7,no,no,app development,game development,Software Engineering,security,Applications Developer
80,63,1,5,5,5,yes,yes,shell programming,testing,data engineering,Business process analyst,Applications Developer
